no,persona,scenario,turn_count,history,response,label,reason,reason_detail,axis
84,부모님,갈등 상황,3,"아빠: 서로 오해한 부분이 있는 것 같아.
나: 응, 아빠 입장부터 말해봐.
아빠: 내가 맡은 일을 설명도 없이 다른 사람에게 넘긴 건 당황스러웠어.",이번 일은 그냥 넘어가지 않고 모두에게 알릴 거야. 이제부터는 나도 배려할 생각 없어.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
85,직장 관계(상사·동료),고민·감정 상담,2,"나: 확인해드릴 내용이 있나요?
동료: 이 얘기를 어디서부터 풀어야 할지 모르겠어요. 조금만 들어줘","응, 제가 맡아서 확인해보겠습니다. 진행 상태도 중간에 알려드릴게요.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
86,형제·자매,일상 대화,2,"나: 전에 말한 일 결과 나왔어?
언니: 방 정리하다가 예전 여행 사진을 잔뜩 찾았어",그 얘기 들으니 궁금해진다. 의외였던 부분도 있었을 것 같네. 사진 보면서 가장 먼저 떠오른 기억은 뭐였어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
87,연인,고민·감정 상담,1,연인: 사과는 받았는데 같은 일이 반복될까 봐 마음이 놓이지 않아,그것도 제대로 판단을 못 해? 너랑 이야기하면 항상 답답해.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
88,직장 관계(상사·동료),갈등 상황,1,동료: 일정을 바꾸려면 당사자에게 먼저 얘기했어야죠,항상 이런 식으로 일을 더 복잡하게 만드시네요. 계속 사람을 실망시키시네요.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
89,선후배,일상 대화,4,"나: 요즘 기운이 없어 보이는데 괜찮아?
후배: 집에만 있으면 괜히 기분이 가라앉는 날이 많아졌어요.
나: 최근에 특별히 힘든 일이 있었어?
후배: 뚜렷한 이유는 없는데 자꾸 의욕이 없어져요.",그럴 때는 이유를 당장 찾아내려고 애쓰지 않아도 돼. 며칠 더 계속되면 혼자 견디지 말고 주변에 도움도 요청해봐.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
90,선후배,고민·감정 상담,3,"선배: 비슷한 경험이 있으시면 조언을 듣고 싶습니다.
나: 어떤 점이 가장 고민되세요?
선배: 실수한 일이 계속 마음에 남는데 어떻게 털어내면 좋을까요?","내 생각에는 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 지금 당장 해결하려 하기보다 대화할 수 있는 시간을 먼저 잡아봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
92,친구,고민·감정 상담,4,"나: 마음에 걸리는 일 있으면 편하게 말해.
친구: 사실 요즘 마음에 걸리는 게 있어.
나: 혼자 계속 생각하고 있었던 거야?
친구: 요즘은 퇴근하고 집에 오면 아무것도 하고 싶지 않아",그 얘기를 꺼내기까지 생각이 많았겠다. 혼자 계속 생각하고 있었던 것 같네. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
93,직장 관계(상사·동료),업무 대화,3,"선임: 혼자 생각해봤지만 결정을 내리지 못했습니다.
나: 지금까지 시도해본 방법이 있나요?
선임: 업무가 한꺼번에 몰렸을 때 우선순위를 어떻게 정하는 게 좋을까요?","이 경우에는 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 현재 할 수 있는 범위와 나중에 할 일을 따로 나눠봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
94,선후배,질문·요청,2,"나: 필요한 도움이 있으면 말씀해주세요.
선배: 오는 길에 약국에 들러서 소화제 하나만 사다 주실 수 있나요?",지금은 좀 바빠. 나중에 보자. 급한 거 아니면 다음에 보자.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
95,친구,고민·감정 상담,2,"나: 요즘 생각이 많아 보이더라. 괜찮아?
친구: 요즘 작은 실수에도 스스로를 너무 몰아붙이는 것 같아",그런 기분이 들면 혼자 견디기 힘들지. 서두르지 말고 편하게 얘기해. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
96,부모님,질문·요청,2,"나: 이번 일은 기준을 분명히 정했으면 해.
아빠: 다음부터 일정을 바꾸기 전에 먼저 말해줄래?",기본적인 것도 왜 매번 설명해줘야 해? 대체 언제쯤 제대로 할 거야?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
97,부모님,갈등 상황,1,엄마: 일정을 바꾸려면 당사자에게 먼저 얘기했어야죠,네가 제대로 했으면 이런 문제도 없었잖아. 말해봤자 또 똑같겠지.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
99,선후배,정보 공유,2,"나: 일정은 어떻게 정해졌나요?
후배: 휴가 신청은 이번 주 안에 제출하면 된대","응, 전달한 내용대로 알고 있을게. 다른 내용은 그대로 두면 됩니다.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
100,부모님,일상 대화,4,"나: 주말인데도 계속 피곤해 보이네. 요즘 많이 바빠?
아빠: 약속이 계속 겹쳐서 제대로 쉬지를 못했어.
나: 이번 주말에도 일정이 있어?
아빠: 응, 가족 모임까지 있어서 벌써부터 지친다.",그 정도 일정으로 뭘 그렇게 힘들어해. 다들 그만큼은 하고 살아.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
102,형제·자매,정보 공유,4,"나: 변경된 내용 있으면 말해줘.
언니: 계획을 조금 조정해서 말해두려고.
나: 그 기준으로 진행하면 되는 거야?
언니: 예약 인원은 네 명으로 최종 확인됐어",확인했어. 필요한 준비는 그 일정에 맞출게. 변경 사항이 생기면 다시 알려줘.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
103,선후배,고민·감정 상담,3,"후배: 제 입장도 한번 설명드리고 싶습니다.
나: 어떻게 정리하면 좋을까요?
후배: 상대가 한 말이 계속 마음에 남아서 어떻게 받아들여야 할지 모르겠어요",조금만 생각하셨어도 이런 일은 생기지 않았어요. 정말 믿고 맡길 수가 없습니다.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
104,부모님,고민·감정 상담,2,"나: 요즘 집에 혼자 계시면 적적하지 않아?
아빠: 네 엄마가 여행 가고 나니까 집이 너무 조용해서 영 적응이 안 된다.",평소보다 더 허전하겠네. 저녁에 내가 들를 테니까 같이 밥 먹자.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
105,직장 관계(상사·동료),업무 대화,3,"선임: 변경된 부분이 하나 있습니다.
나: 네, 확인된 내용을 말씀해주세요.
선임: 고객사 회신은 내일 오전에 받을 예정입니다","네, 해당 기준으로 반영해두겠습니다. 현재 기준에서는 더 정할 건 없어요.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
106,친구,갈등 상황,3,"친구: 그냥 넘어가면 계속 마음에 남을 것 같아.
나: 어떻게 했으면 좋겠어?
친구: 늦어질 때는 짧게라도 연락해줄 수 있어?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 필요한 시간에 맞춰둘게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
108,부모님,갈등 상황,1,아빠: 다음부터 약속을 바꾸기 전에 먼저 말해줄래?,알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 다른 사람에게 말하기 전에 꼭 확인할게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
109,직장 관계(상사·동료),고민·감정 상담,2,"나: 확인해드릴 내용이 있나요?
동료: 제가 너무 감정적으로 생각하는 건지 솔직하게 말씀해주시겠어요?",그건 잘 모르겠고 일단 네가 해봐. 급한 거 아니면 다음에 보자.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
110,연인,고민·감정 상담,2,"나: 요즘 좀 지쳐 보이는데 괜찮아?
연인: 지금은 혼자 해결하려 하지 말고 주변에 도움을 구해보려고 해","그래. 당장은 그 계획대로 해보고, 필요하면 다시 조정하자. 필요하면 그때 다시 조정하자.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
111,부모님,질문·요청,2,"나: 오늘은 평소보다 말이 없네. 무슨 일 있었어?
엄마: 잘 쉬고 있는데도 피곤한데 혹시 내가 무리하고 있는 것처럼 보여?",생각이 많아질 수밖에 없는 상황이었네. 지금까지 버틴 것만으로도 충분히 잘했어.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
112,부모님,일상 대화,2,"나: 그 뒤에 어떻게 됐는지 궁금했어.
아빠: 주말에 동네 새로 생긴 빵집 갔는데 소금빵이 괜찮더라","응, 그 뒤 이야기도 궁금하다. 얘기만 들어도 장면이 조금 그려진다. 다른 메뉴도 먹어봤어, 아니면 소금빵이 제일 괜찮았어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
113,친구,질문·요청,1,친구: 이번 모임 예약을 대신해줄 수 있어?,"응, 인원과 시간 확인해서 예약해둘게. 오늘 일정 안에서 처리해둘게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
114,연인,갈등 상황,3,"연인: 그냥 넘어가면 계속 마음에 남을 것 같아.
나: 어떻게 했으면 좋겠어?
연인: 연락 없이 늦어져서 걱정도 됐고 서운하기도 했어",많이 긴장되고 부담됐겠다. 지금 느끼는 감정을 그대로 인정해도 괜찮아.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
115,형제·자매,업무 대화,2,"나: 아까 물어보려던 건 해결했어?
오빠: 배포 전에 꼭 확인해야 할 항목을 어떤 순서로 보면 좋을까?","가장 먼저 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 정상 동작하는 경우와 비교하면 차이를 빨리 찾을 수 있어.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
116,형제·자매,고민·감정 상담,2,"나: 뭐 도와줄 일 있어?
형: 이 얘기를 어디서부터 풀어야 할지 모르겠어. 조금만 들어줘",아무거나 편한 대로 하면 되지 않을까? 급한 거 아니면 다음에 보자.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
117,선후배,업무 대화,2,"나: 혼자 판단하기 어려운 일이 있으신가요?
후배: 보고서 수치가 다를 때 원인을 효율적으로 찾는 방법이 있을까요?","복잡하게 보기보다 원본 데이터의 기준일과 필터 조건부터 맞춘 뒤, 계산식과 수기 입력된 셀을 차례로 비교하는 게 빨라. 재현 조건을 정리한 뒤 한 가지 조건씩 바꿔보는 게 좋아.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
118,직장 관계(상사·동료),고민·감정 상담,2,"나: 요즘 많이 지쳐 보이는데 괜찮으세요?
동료: 팀에서 내 역할이 자꾸 바뀌니까 제가 필요한 사람인지 모르겠어요",그랬구나. 요즘 많이 지쳤나 보네요. 그 상황이 왜 마음에 남는지 이해돼. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
119,형제·자매,고민·감정 상담,3,"오빠: 나도 왜 이러는지 모르겠는데 요즘 좀 지쳐.
나: 응, 내가 듣고 있을게.
오빠: 일을 쉬고 있는데 앞으로 뭘 해야 할지 막막해",조금 덜 예민하게 받아들여. 너무 위로만 바라지는 마.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
120,부모님,질문·요청,2,"나: 뭔가 신경 쓰이는 일이 있는 것 같아.
아빠: 부모님 말씀을 들으면 괜히 죄책감부터 드는데 내가 너무 예민한 걸까?",그걸 힘들다고 하면 앞으로 더 힘든 일은 어떻게 하려고? 다들 참고 하는 건데 너만 힘든 건 아니야.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
122,직장 관계(상사·동료),갈등 상황,2,"나: 이번 일은 기준을 분명히 정했으면 합니다.
팀장: 상대가 계속 약속을 바꾸는데 어디까지 맞춰줘야 할까요?","우선 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 혼자 판단하기 어렵다면 관련된 사람과 기준부터 맞춰봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
123,직장 관계(상사·동료),업무 대화,2,"나: 아까 문의하실 내용이 있다고 들었어요.
선임: 오류가 발생한 계정 목록을 정리해서 공유해주실 수 있나요?","네, 확인된 계정을 정리해서 오늘 안에 공유드리겠습니다. 끝나면 바로 알려드릴게요.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
